GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etax,com.ptit.etax.common.enums,IncomePriceRule,0,162,0,2,0,17,0,4,0,3
etax,com.ptit.etax.common.enums,ResponseCodeEnum,0,74,0,0,0,8,0,1,0,1
etax,com.ptit.etax.service,UserService,0,48,0,4,0,9,0,5,0,3
etax,com.ptit.etax.service,TaxService,0,49,0,4,0,10,0,5,0,3
etax,com.ptit.etax.service,PayService,5,153,1,9,1,28,1,9,0,5
etax,com.ptit.etax.model,Pay,320,64,69,1,0,10,38,18,3,18
etax,com.ptit.etax.model,Tax,259,211,63,23,0,12,45,23,2,23
etax,com.ptit.etax.model,User,43,40,9,5,0,3,9,5,2,5
etax,com.ptit.etax.config,Config,0,8,0,0,0,3,0,2,0,2
etax,com.ptit.etax.common.util,CalculateUtil,3,21,0,0,1,4,1,2,1,2
etax,com.ptit.etax,EtaxApplication,5,7,0,0,2,2,1,2,1,2
etax,com.ptit.etax.common.error,ConflictException,0,4,0,0,0,2,0,1,0,1
etax,com.ptit.etax.common.error,NotFoundException,0,4,0,0,0,2,0,1,0,1
etax,com.ptit.etax.common.error,ApiExceptionHandler,58,59,0,0,13,13,2,3,2,3
etax,com.ptit.etax.common.error,BadRequestException,0,4,0,0,0,2,0,1,0,1
etax,com.ptit.etax.controller.api,TaxController,0,59,0,0,0,9,0,3,0,3
etax,com.ptit.etax.controller.api,UserController,31,26,0,0,4,5,1,2,1,2
etax,com.ptit.etax.controller.api,PayController,20,62,0,0,3,11,0,5,0,5
etax,com.ptit.etax.controller.request,PayRequest.PayUpdate,73,10,14,0,0,2,11,3,4,3
etax,com.ptit.etax.controller.request,TaxRequest,3,0,0,0,1,0,1,0,1,0
etax,com.ptit.etax.controller.request,UserRequest,3,0,0,0,1,0,1,0,1,0
etax,com.ptit.etax.controller.request,UserRequest.UserLogin,73,10,14,0,0,2,11,3,4,3
etax,com.ptit.etax.controller.request,PayRequest,3,0,0,0,1,0,1,0,1,0
etax,com.ptit.etax.controller.request,UserRequest.UserCreate,73,10,14,0,0,2,11,3,4,3
etax,com.ptit.etax.controller.request,TaxRequest.TaxCreate,397,73,86,0,0,11,47,21,4,21
etax,com.ptit.etax.controller.request,PayRequest.PayCreate,181,31,38,0,0,5,23,9,4,9
etax,com.ptit.etax.controller.request,PayRequest.PayCalculate,112,14,22,0,1,2,16,4,5,4
etax,com.ptit.etax.common.constant,StatusConstant,3,0,0,0,1,0,1,0,1,0
etax,com.ptit.etax.model.mapper,GenericMapper,0,23,0,0,0,4,0,3,0,3
etax,com.ptit.etax.controller.response,ResponseBodyDTO,361,55,44,0,26,15,35,12,13,12
etax,com.ptit.etax.controller.response,ResponseDTO,298,0,44,0,8,0,41,0,19,0
